Time(s),Voltage(V)
0.01068,-0.5109375
0.010700000000000001,-0.5171874999999999
0.01072,-0.5078125
0.010740000000000001,-0.5203125
0.01076,-0.50625
0.010780000000000001,-0.5226562499999999
0.0108,-0.503125
0.010820000000000001,-0.525
0.01084,-0.5046875000000001
0.010860000000000002,-0.525
0.01088,-0.50546875
0.010900000000000002,-0.525
0.010920000000000001,-0.5078125
0.01094,-0.52265625
0.010960000000000001,-0.50546875
0.01098,-0.525
0.011000000000000001,-0.50546875
0.01102,-0.525
0.011040000000000001,-0.50625
0.01106,-0.525
0.011080000000000001,-0.50546875
0.0111,-0.525
0.011120000000000001,-0.50546875
0.01114,-0.525
0.011160000000000002,-0.50625
0.01118,-0.525
0.011200000000000002,-0.50625
0.01122,-0.525
0.011240000000000002,-0.50546875
0.011260000000000001,-0.525
0.01128,-0.50625
0.011300000000000001,-0.525
0.01132,-0.50625
0.011340000000000001,-0.525
0.01136,-0.50625
0.011380000000000001,-0.525
0.0114,-0.50859375
0.011420000000000001,-0.52265625
0.01144,-0.50625
0.011460000000000001,-0.525
0.01148,-0.50859375
0.011500000000000002,-0.52265625
0.01152,-0.50625
0.011540000000000002,-0.525
0.01156,-0.50625
0.011580000000000002,-0.525
0.011600000000000001,-0.5085937500000001
0.01162,-0.5226562499999999
0.011640000000000001,-0.5085937500000001
0.01166,-0.5226562499999999
0.011680000000000001,-0.5085937500000001
0.0117,-0.5226562499999999
0.011720000000000001,-0.50625
0.01174,-0.525
0.011760000000000001,-0.50625
0.01178,-0.525
0.011800000000000001,-0.50859375
0.01182,-0.52265625
0.011840000000000002,-0.5109375
0.01186,-0.5203125
0.011880000000000002,-0.5085937500000001
0.0119,-0.5226562499999999
0.011920000000000002,-0.5085937500000001
0.011940000000000001,-0.5226562499999999
0.01196,-0.5109374999999999
0.011980000000000001,-0.5203125000000001
0.012,-0.5109375
0.012020000000000001,-0.5203125
0.01204,-0.5085937500000001
0.012060000000000001,-0.5226562499999999
0.01208,-0.51328125
0.012100000000000001,-0.51796875
0.01212,-0.5109374999999999
0.012140000000000001,-0.5203125000000001
0.01216,-0.5109375
0.012180000000000002,-0.5203125
0.0122,-0.5109375
0.012220000000000002,-0.5203125
0.012240000000000001,-0.51328125
0.012260000000000002,-0.51796875
0.012280000000000001,-0.515625
0.0123,-0.515625
0.012320000000000001,-0.50625
0.01234,-0.525
0.012360000000000001,-0.515625
0.01238,-0.515625
0.012400000000000001,-0.5085937500000001
0.01242,-0.5226562499999999
0.012440000000000001,-0.51328125
0.01246,-0.51796875
0.012480000000000002,-0.5179687500000001
0.0125,-0.5132812499999999
0.012520000000000002,-0.51328125
0.01254,-0.51796875
0.012560000000000002,-0.51328125
0.012580000000000001,-0.51796875
0.012600000000000002,-0.515625
0.012620000000000001,-0.515625
0.01264,-0.51796875
0.012660000000000001,-0.51328125
0.01268,-0.51328125
0.012700000000000001,-0.51796875
0.01272,-0.50859375
0.012740000000000001,-0.52265625
0.01276,-0.51328125
0.012780000000000001,-0.51796875
0.0128,-0.515625
0.012820000000000002,-0.515625
0.01284,-0.515625
0.012860000000000002,-0.515625
0.01288,-0.51328125
0.012900000000000002,-0.51796875
0.012920000000000001,-0.5085937500000001
0.012940000000000002,-0.5226562499999999
0.012960000000000001,-0.5109375
0.01298,-0.5203125
0.013000000000000001,-0.51796875
0.01302,-0.51328125
0.013040000000000001,-0.5109374999999999
0.01306,-0.5203125000000001
0.013080000000000001,-0.51328125
0.0131,-0.51796875
0.013120000000000001,-0.5109375
0.01314,-0.5203125
0.013160000000000002,-0.5109374999999999
0.01318,-0.5203125000000001
0.013200000000000002,-0.51328125
0.01322,-0.51796875
0.013240000000000002,-0.51796875
0.013260000000000001,-0.51328125
0.013280000000000002,-0.51328125
0.013300000000000001,-0.51796875
0.01332,-0.5109375
0.013340000000000001,-0.5203125
0.01336,-0.515625
0.013380000000000001,-0.515625
0.0134,-0.515625
0.013420000000000001,-0.515625
0.01344,-0.5109375
0.013460000000000001,-0.5203125
0.01348,-0.51796875
0.013500000000000002,-0.51328125
0.01352,-0.5085937500000001
0.013540000000000002,-0.5226562499999999
0.013560000000000001,-0.51328125
0.013580000000000002,-0.51796875
0.013600000000000001,-0.51328125
0.013620000000000002,-0.51796875
0.013640000000000001,-0.5109375
0.01366,-0.5203125
0.013680000000000001,-0.5085937500000001
0.0137,-0.5226562499999999
0.013720000000000001,-0.5109375
0.01374,-0.5203125
0.013760000000000001,-0.50859375
0.01378,-0.52265625
0.013800000000000002,-0.515625
0.01382,-0.515625
0.013840000000000002,-0.5109375
0.01386,-0.5203125
0.013880000000000002,-0.50859375
0.013900000000000001,-0.52265625
0.013920000000000002,-0.50859375
0.013940000000000001,-0.52265625
0.013960000000000002,-0.5085937500000001
0.013980000000000001,-0.5226562499999999
0.014,-0.525
0.014020000000000001,0.52109375
0.01404,0.49296875
0.014060000000000001,0.50625
0.01408,0.49140624999999993
0.014100000000000001,0.509375
0.01412,0.4945312499999999
0.014140000000000002,0.509375
0.01416,0.4992187499999999
0.014180000000000002,0.5031249999999999
0.0142,0.49218749999999994
0.014220000000000002,0.5125000000000001
0.014240000000000001,0.49296874999999996
0.014260000000000002,0.5125000000000001
0.014280000000000001,0.49296874999999996
0.014300000000000002,0.5125000000000001
0.014320000000000001,0.49609375
0.01434,0.509375
0.014360000000000001,0.49531249999999993
0.01438,0.509375
0.014400000000000001,0.49374999999999997
0.01442,0.5125000000000001
0.014440000000000001,0.49374999999999997
0.01446,0.5125000000000001
0.014480000000000002,0.49374999999999997
0.0145,0.5125000000000001
0.014520000000000002,0.4984375
0.01454,0.5078125
0.014560000000000002,0.49374999999999997
0.014580000000000001,0.5125000000000001
0.014600000000000002,0.49374999999999997
0.014620000000000001,0.5125000000000001
0.014640000000000002,0.49296874999999996
0.014660000000000001,0.5125000000000001
0.01468,0.4984375
0.014700000000000001,0.5078125
0.01472,0.49609375
0.014740000000000001,0.5101562500000001
0.01476,0.5007812500000001
0.014780000000000001,0.50546875
0.0148,0.49609374999999994
0.014820000000000002,0.51015625
0.01484,0.49609374999999994
0.014860000000000002,0.5101562500000001
0.01488,0.50078125
0.014900000000000002,0.50546875
